repo,pr_a,pr_b,prob,raw
0x80/isolate-package,134,135,0.7,
514-labs/moose,2341,2350,0.15,
514-labs/moose,2343,2345,0.1,
514-labs/moose,2466,2554,0.15,
514-labs/moose,2532,2533,0.35,
514-labs/moose,2466,2531,0.15,
514-labs/moose,2466,2561,0.1,
514-labs/moose,2466,2541,0.1,
514-labs/moose,2560,2561,0.05,
514-labs/moose,2554,2561,0.3,
514-labs/moose,2466,2533,0.15,
514-labs/moose,2341,2345,0.05,
514-labs/moose,2510,2529,0.1,
514-labs/moose,2531,2532,0.2,
514-labs/moose,2466,2510,0.15,
514-labs/moose,2348,2350,0.05,
514-labs/moose,2531,2541,0.35,
514-labs/moose,2345,2348,0.05,
514-labs/moose,2466,2529,0.1,
514-labs/moose,2466,2499,0.45,
514-labs/moose,2466,2560,0.05,
514-labs/moose,2341,2348,0.05,
514-labs/moose,2341,2343,0.05,
514-labs/moose,2554,2560,0.1,
514-labs/moose,2531,2533,0.15,
514-labs/moose,2466,2532,0.25,
AfterShip/clickhouse-sql-parser,170,172,0.4,
AfterShip/clickhouse-sql-parser,170,171,0.65,
Azure-Samples/azure-ai-travel-agents,77,79,0.1,
Azure-Samples/azure-ai-travel-agents,94,99,0.1,
Azure-Samples/azure-ai-travel-agents,79,92,0.2,
Azure-Samples/azure-ai-travel-agents,80,85,0.05,
Azure-Samples/azure-ai-travel-agents,80,99,0.2,
Azure-Samples/azure-ai-travel-agents,75,99,0.1,
Azure-Samples/azure-ai-travel-agents,80,96,0.05,
Azure-Samples/azure-ai-travel-agents,83,85,0.1,
Azure-Samples/azure-ai-travel-agents,79,94,0.05,
Azure-Samples/azure-ai-travel-agents,85,96,0.03,
Azure-Samples/azure-ai-travel-agents,75,83,0.4,
Azure-Samples/azure-ai-travel-agents,75,94,0.08,
Azure-Samples/azure-ai-travel-agents,75,85,0.15,
Azure-Samples/azure-ai-travel-agents,80,92,0.35,
Azure-Samples/azure-ai-travel-agents,94,96,0.05,
Azure-Samples/azure-ai-travel-agents,75,96,0.05,
Azure-Samples/azure-ai-travel-agents,75,79,0.25,
Azure-Samples/azure-ai-travel-agents,96,99,0.05,
Azure-Samples/azure-ai-travel-agents,79,83,0.15,
Azure-Samples/azure-ai-travel-agents,79,80,0.25,
Azure-Samples/azure-ai-travel-agents,80,94,0.1,
Azure-Samples/azure-ai-travel-agents,85,99,0.1,
Azure-Samples/azure-ai-travel-agents,85,94,0.65,
Azure-Samples/azure-ai-travel-agents,79,85,0.08,
Azure-Samples/azure-ai-travel-agents,80,83,0.4,
Azure-Samples/azure-ai-travel-agents,79,99,0.2,
Azure-Samples/azure-ai-travel-agents,75,80,0.35,
Azure-Samples/azure-ai-travel-agents,75,77,0.12,
Azure-Samples/azure-ai-travel-agents,79,96,0.05,
Azure-Samples/azure-ai-travel-agents,85,92,0.75,
Azure-Samples/azure-ai-travel-agents,75,92,0.3,
Azure/AppConfiguration,1065,1067,0.25,
Azure/AppConfiguration,1061,1067,0.05,
Azure/AppConfiguration,1061,1065,0.05,
Azure/autorest.csharp,5334,5338,0.85,
Azure/autorest.csharp,5327,5329,0.1,
Azure/awesome-azd,630,631,0.35,
Azure/azure-functions-core-tools,4434,4442,0.05,
Azure/azure-functions-core-tools,4434,4445,0.2,
Azure/azure-functions-core-tools,4442,4445,0.05,
Azure/azure-functions-core-tools,4443,4445,0.45,
Azure/azure-functions-core-tools,4443,4446,0.45,
Azure/azure-functions-core-tools,4437,4443,0.15,
Azure/azure-functions-core-tools,4437,4442,0.05,
Azure/azure-functions-core-tools,4445,4446,0.65,
Azure/azure-functions-core-tools,4434,4446,0.1,
Azure/azure-functions-core-tools,4437,4445,0.35,
Azure/azure-functions-core-tools,4434,4480,0.1,
Azure/azure-functions-core-tools,4437,4446,0.5,
Azure/azure-functions-core-tools,4434,4443,0.1,
Azure/azure-functions-core-tools,4434,4437,0.15,
Azure/azure-functions-core-tools,4442,4443,0.05,
Azure/azure-functions-core-tools,4442,4446,0.05,
Azure/azure-sdk-for-java,45590,45806,0.05,
Azure/azure-sdk-for-java,45590,45801,0.1,
Azure/azure-sdk-for-java,45595,45801,0.05,
Azure/azure-sdk-for-java,45590,45808,0.05,
Azure/azure-sdk-for-java,45801,45808,0.05,
Azure/azure-sdk-for-java,45609,45801,0.15,
Azure/azure-sdk-for-java,45797,45806,0.25,
Azure/azure-sdk-for-java,45595,45806,0.05,
Azure/azure-sdk-for-java,45797,45801,0.2,
Azure/azure-sdk-for-java,45595,45609,0.05,
Azure/azure-sdk-for-java,45800,45801,0.12,
Azure/azure-sdk-for-java,45795,45803,0.02,
Azure/azure-sdk-for-java,45796,45801,0.05,
Azure/azure-sdk-for-java,45609,45806,0.05,
Azure/azure-sdk-for-java,45806,45808,0.02,
Azure/azure-sdk-for-java,45595,45606,0.08,
Azure/azure-sdk-for-java,45595,45796,0.08,
Azure/azure-sdk-for-java,45606,45801,0.05,
Azure/azure-sdk-for-java,45590,45796,0.05,
Azure/azure-sdk-for-java,45595,45800,0.03,
Azure/azure-sdk-for-java,45796,45803,0.02,
Azure/azure-sdk-for-java,45803,45808,0.01,
Azure/azure-sdk-for-java,45795,45801,0.04,
Azure/azure-sdk-for-java,45595,45795,0.02,
Azure/azure-sdk-for-java,45795,45796,0.03,
Azure/azure-sdk-for-java,45796,45800,0.02,
Azure/azure-sdk-for-java,45797,45800,0.05,
Azure/azure-sdk-for-java,45595,45808,0.01,
Azure/azure-sdk-for-java,45797,45803,0.01,
Azure/azure-sdk-for-java,45800,45803,0.05,
Azure/azure-sdk-for-java,45796,45808,0.05,
Azure/azure-sdk-for-java,45609,45797,0.05,
Azure/azure-sdk-for-java,45800,45808,0.05,
Azure/azure-sdk-for-java,45590,45797,0.05,
Azure/azure-sdk-for-java,45606,45609,0.2,
Azure/azure-sdk-for-java,45595,45797,0.05,
Azure/azure-sdk-for-java,45796,45797,0.05,
Azure/azure-sdk-for-java,45606,45808,0.05,
Azure/azure-sdk-for-java,45606,45795,0.05,
Azure/azure-sdk-for-java,45609,45796,0.08,
Azure/azure-sdk-for-java,45795,45800,0.03,
Azure/azure-sdk-for-java,45595,45803,0.01,
Azure/azure-sdk-for-java,45606,45797,0.05,
Azure/azure-sdk-for-java,45795,45806,0.02,
Azure/azure-sdk-for-java,45800,45806,0.02,
Azure/azure-sdk-for-java,45609,45808,0.03,
Azure/azure-sdk-for-java,45606,45803,0.02,
Azure/azure-sdk-for-java,45590,45606,0.08,
Azure/azure-sdk-for-java,45606,45796,0.15,
Azure/azure-sdk-for-java,45803,45806,0.02,
Azure/azure-sdk-for-java,45609,45800,0.03,
Azure/azure-sdk-for-java,45590,45795,0.02,
Azure/azure-sdk-for-java,45606,45800,0.02,
Azure/azure-sdk-for-java,45590,45803,0.01,
Azure/azure-sdk-for-java,45796,45806,0.02,
Azure/azure-sdk-for-java,45590,45800,0.02,
Azure/azure-sdk-for-java,45795,45797,0.2,
Azure/azure-sdk-for-java,45609,45795,0.02,
Azure/azure-sdk-for-java,45609,45803,0.01,
