repo,n,pos,auc_llm,auc_tfidf,auc_jac,auc_ov
Azure/azure-sdk-for-java,66,0.5606060606060606,0.38350419384902146,0.2516309412861137,0.5209692451071761,0.6882572227399814
NangoHQ/nango,200,0.97,0.4325601374570447,0.49828178694158076,0.4536082474226804,0.820446735395189
microsoft/WinUI-Gallery,49,0.6530612244897959,0.44485294117647056,0.9172794117647058,0.8079044117647058,0.7398897058823529
oraios/serena,10,0.7,0.4523809523809524,0.8571428571428571,0.7857142857142857,0.9523809523809523
freenet/freenet-core,22,0.7272727272727273,0.4635416666666667,0.6041666666666666,0.7083333333333334,0.3645833333333333
PyLabRobot/pylabrobot,50,0.32,0.4650735294117647,0.5257352941176471,0.36672794117647056,0.5772058823529411
quarylabs/sqruff,15,0.4666666666666667,0.5178571428571429,0.5178571428571429,0.5535714285714286,0.22321428571428573
tokens-studio/figma-plugin,200,0.345,0.5285982962717115,0.5514990596304901,0.5738466644540325,0.36148910277685586
microsoft/ebpf-for-windows,61,0.5901639344262295,0.5372222222222223,0.5344444444444445,0.6588888888888889,0.5772222222222222
getsentry/sentry-javascript,27,0.2962962962962963,0.5625,0.29605263157894735,0.4934210526315789,0.4506578947368421
binarywang/WxJava,78,0.5769230769230769,0.5696969696969697,0.503030303030303,0.4494949494949495,0.5777777777777777
gofiber/fiber,153,0.6797385620915033,0.578394819466248,0.4825353218210361,0.4370094191522763,0.5799646781789639
benwbrum/fromthepage,155,0.632258064516129,0.5929108485499462,0.502327246688149,0.5097565341926245,0.5040279269602578
KomodoPlatform/komodo-wallet,200,0.465,0.5954175459752789,0.45663752386694806,0.5318058486584263,0.580695407496734
reflex-dev/reflex-web,200,0.395,0.6092164452348572,0.4295428392091223,0.43958573072497126,0.6468249816926457
cartography-cncf/cartography,59,0.4576271186440678,0.6145833333333334,0.3576388888888889,0.4253472222222222,0.6782407407407407
openops-cloud/openops,34,0.5,0.6228373702422145,0.47058823529411764,0.5397923875432526,0.6799307958477508
microsoft/typespec,200,0.155,0.6376216835273907,0.6199656422981485,0.4769039893109372,0.4780492460393205
epicweb-dev/epicshop,49,0.3877551020408163,0.643859649122807,0.5947368421052631,0.5464912280701755,0.6675438596491228
bruin-data/bruin,179,0.22346368715083798,0.6515287769784173,0.6917266187050359,0.6609712230215827,0.7129496402877697
VerisimilitudeX/DNAnalyzer,200,0.68,0.6540670955882353,0.7513786764705882,0.3659811580882353,0.42761948529411764
microsoft/testfx,200,0.37,0.6549227799227799,0.6486486486486487,0.6017803517803518,0.5407550407550408
