repo,pr_a,pr_b,status,sha_a,sha_b,merge_base,conflict,n_conflict_files,conflict_files,n_shared_src,cross_agent,secs,note
mochilang/mochi,399,402,clean,7bd8caa7cfe59ba16370a246a219aa6f5dd86191,be32552f58bd213a9d4dc2a46db4b1dc4c194477,8cff7545ee6dc927583c6cf3e8f0a53f0d56e63a,False,0,,1,False,0.24,
mochilang/mochi,483,484,clean,30a31f741dacb15fcce37f5c568982321dd649cd,1fb0b7b6924864873ef30cf2dc6c3175b0395c08,a78765fbb714abb36f900437b11fac2068e45c95,False,0,,1,False,0.26,
mochilang/mochi,488,489,clean,721bdae8ae243b41b2276082601874593b11997d,856aacd85ec46ab3e4711dffe0ece862725f3b18,3e0c632ec44f88a447493367113a3cda3925a71c,False,0,,1,False,0.24,
mochilang/mochi,938,939,clean,39c143ad924686c4f77ecc610912ad7a2ff843d8,2db5fe6c66d3de4d4697cb5234483563fb69a5b4,1064d4392a16b785554d616d59ffe18cc06d4296,False,0,,1,False,0.32,
mochilang/mochi,1122,1123,clean,110db2b8f8c31c15e29ce780180e762503ec9672,e0d0351add186c0bc67b39f3b089b58a07724cd3,58bc304f5a69fb2599a91960afc8e490eb1ead2f,False,0,,1,False,0.24,
mochilang/mochi,1129,1130,clean,c56037fa3581f44d503b4f9e3365e91d21c7c391,68699ae2a59935ead24f8ff3a53fb34b7920ad5d,03fbb8c4c942bc16de8715288f07e10bc0f400a4,False,0,,2,False,0.26,
mochilang/mochi,1174,1175,clean,f1284c116f135504edbb119d0234458562665dcc,2f5c54c894113b72278d861bbfa686da54dba81d,ca29afb1160a8f4be1acc479244b9dc6cf249b1e,False,0,,1,False,0.43,
mochilang/mochi,1184,1187,clean,f24ca05ca593044a0618ac93c34d4c98293af5f4,b83b492ecaeef0f6d077531ed97ab213f2ffd084,acb553ae9d2ed28e743443dcd69af5087f501b83,False,0,,1,False,0.23,
mochilang/mochi,1196,1199,clean,34587feaf05a4285d850dd17a0b8175bfceaaa6b,897d801fa4837484f81520976eb9405cb33d99d0,db9d0b82caa22cb109b923bc345346a580376b96,False,0,,1,False,0.25,
mochilang/mochi,1221,1223,clean,96bbc04410a44d5f5b6ad709854db2163641089c,5cd69505b2a3a0ae3489c2b32dc40ba2514f83c4,4b87860553c828d1d4c300a99422b4e235d9cd2f,False,0,,1,False,0.24,
mochilang/mochi,1240,1241,clean,02e2092804af0a4798b1db2a704089b2251a8de6,d1db0bc1edbc7bc0e99021d013b956f437d624a1,4dc52c8e432f755acf6e8b04dba7e383bfe6df1a,False,0,,1,False,0.24,
mochilang/mochi,1244,1248,clean,d34a00e572940498c0c62fe6c8dcce8e2201af11,2480467dff8b86be0f5bc145903f9cbbcd74b022,0f1c9aeb99f8a4b7bc73c9061c72168187887676,False,0,,1,False,0.24,
mochilang/mochi,1251,1253,clean,223da2af0da09f14da2e9b293e56878594f89d04,75ea9929e46ff46b748b0047b3e88e6d15256fd2,0f1c9aeb99f8a4b7bc73c9061c72168187887676,False,0,,4,False,0.01,
mochilang/mochi,1255,1256,clean,906b7d9d1015ffe0a9b84c871b5b88b5f6361960,122e8fef7519b0c5597d1f6634c5d8a3a8820ff7,1cb671d3154b978bc4c049222c04ab0362f4555b,False,0,,1,False,0.24,
mochilang/mochi,1297,1298,clean,7dbb09c7e059ab169a3908d72677a60a04b2eff9,910f5a517c97ebd3a76ff743f75827c6db14bc9a,e4dbdf6663d9343997e49696f76b4f14b8e25d27,False,0,,1,False,0.22,
mochilang/mochi,1356,1359,clean,c19a14ff1c40c9584d9a809285d4e239790494fe,85928c4a878bf7034d6bb2061feffad87c868f99,3489a7303174899a96d1368a99bf8fd0fc35920c,False,0,,1,False,0.22,
mochilang/mochi,1446,1447,clean,b4ad73118e7cbd176aad4439d3355f0b81889a60,62f9d27cfdb1838557f7f221f212a52953b6a0ab,5505b0123220814d8dae829d90b895d12a16a866,False,0,,1,False,0.31,
mochilang/mochi,1463,1466,clean,9f10238490b4c69dfee6c6b64cee16a6440d225f,0d66344aec6662cead4c062d4b11deb120d7f2dc,dee62795c850cade6188e6068f4364bbc325d9cb,False,0,,1,False,0.23,
mochilang/mochi,1475,1480,clean,6db038aee892b907ce54eb721997825e48330167,30a2d78b29efb4a664cc837cbec7bb5b2cf3294d,f99a167adde8aa7806eda6d01199326b8d5c4a66,False,0,,1,False,0.23,
mochilang/mochi,1551,1553,clean,ce8ba3caf566ac184b1282fa21f9711eccd2595d,33bda2a87f2c5974ee99fa7a57f59dae7e93ebcd,989ba7843f4ca1365f692c1834f679a06db73f18,False,0,,1,False,0.24,
mochilang/mochi,1643,1646,clean,6b69de101a57ba2947056f570b0069cb4007c57c,d5ba7fc033043d7927de9e7022a609350d2ebdcf,4c5cf20d4829672837c5239dde53395d15f94f90,False,0,,1,False,0.25,
