lang,pairs,repos,unavail_pairs,ref_missing,replayed,surv_pct,conflicting,yield_pct
TypeScript,2030.0,110.0,156.0,0.0,1874.0,92.3152709359606,452.0,24.119530416221984
C#,1108.0,37.0,0.0,0.0,1108.0,100.0,77.0,6.949458483754513
JavaScript,645.0,18.0,0.0,0.0,645.0,100.0,142.0,22.015503875968992
Python,612.0,77.0,0.0,4.0,608.0,99.34640522875817,130.0,21.38157894736842
Go,473.0,33.0,0.0,0.0,473.0,100.0,96.0,20.29598308668076
Ruby,438.0,7.0,289.0,0.0,149.0,34.018264840182646,34.0,22.818791946308725
Rust,323.0,27.0,0.0,0.0,323.0,100.0,136.0,42.10526315789474
Dart,228.0,5.0,0.0,0.0,228.0,100.0,118.0,51.75438596491228
Java,207.0,17.0,0.0,0.0,207.0,100.0,13.0,6.280193236714976
Other,323.0,60.0,2.0,0.0,321.0,99.38080495356037,54.0,16.822429906542055
All (full),6387.0,391.0,447.0,4.0,5936.0,92.93878190073588,1252.0,21.09164420485175
