repo,policy,tau,n_prs,conflicts,obs_conflicts,avoided_pct,new_conflicts,added_delay_days,delay_days_per_pr,makespan_days,makespan_inflation_pct
microsoft/onnxscript,observed,,19,20,20,0.0,0,0.0,0.0,45.86307870370371,0.0
microsoft/onnxscript,fifo,,19,0,20,100.0,0,1486.902997685185,78.25805250974658,177.95072916666663,288.00432547563815
microsoft/onnxscript,oracle,,19,0,20,100.0,0,297.98881944444446,15.683622076023392,112.49763888888889,145.29020307527685
microsoft/onnxscript,predictor,0.1,19,0,20,100.0,0,1486.902997685185,78.25805250974658,177.95072916666663,288.00432547563815
microsoft/onnxscript,predictor,0.15,19,0,20,100.0,0,1486.902997685185,78.25805250974658,177.95072916666663,288.00432547563815
microsoft/onnxscript,predictor,0.2,19,1,20,95.0,0,842.1800000000003,44.32526315789475,132.7322916666667,189.40990316890307
microsoft/onnxscript,predictor,0.25,19,17,20,15.0,7,120.59685185185184,6.3472027290448345,47.535127314814815,3.645740012163817
microsoft/onnxscript,predictor,0.3,19,21,20,-5.0,3,16.165925925925922,0.8508382066276802,45.86307870370371,0.0
microsoft/onnxscript,predictor,0.4,19,20,20,0.0,2,3.157962962962962,0.1662085769980506,45.86307870370371,0.0
microsoft/onnxscript,predictor,0.5,19,20,20,0.0,2,3.157962962962962,0.1662085769980506,45.86307870370371,0.0
microsoft/onnxscript,predictor,0.65,19,20,20,0.0,0,0.0,0.0,45.86307870370371,0.0
microsoft/onnxscript,predictor,0.8,19,20,20,0.0,0,0.0,0.0,45.86307870370371,0.0
jscarle/LightResults,observed,,21,77,77,0.0,0,0.0,0.0,0.1138310185185185,0.0
jscarle/LightResults,fifo,,21,0,77,100.0,0,1.6654629629629625,0.0793077601410934,0.2118171296296296,86.08032536858153
jscarle/LightResults,oracle,,21,0,77,100.0,0,0.6046296296296297,0.0287918871252204,0.1490625,30.950686324351818
jscarle/LightResults,predictor,0.1,21,0,77,100.0,0,1.6654629629629625,0.0793077601410934,0.2118171296296296,86.08032536858153
jscarle/LightResults,predictor,0.15,21,0,77,100.0,0,1.6654629629629625,0.0793077601410934,0.2118171296296296,86.08032536858153
jscarle/LightResults,predictor,0.2,21,0,77,100.0,0,1.6654629629629625,0.0793077601410934,0.2118171296296296,86.08032536858153
jscarle/LightResults,predictor,0.25,21,0,77,100.0,0,1.6654629629629625,0.0793077601410934,0.2118171296296296,86.08032536858153
jscarle/LightResults,predictor,0.3,21,0,77,100.0,0,1.4425810185185186,0.0686943342151675,0.1991666666666666,74.96695475343158
jscarle/LightResults,predictor,0.4,21,2,77,97.4025974025974,0,1.291215277777778,0.0614864417989418,0.1913425925925926,68.09354346720893
jscarle/LightResults,predictor,0.5,21,21,77,72.72727272727273,0,0.2974074074074074,0.0141622574955908,0.1255555555555555,10.299949161159129
jscarle/LightResults,predictor,0.65,21,76,77,1.2987012987012987,0,0.0007986111111111,3.802910052910119e-05,0.1139814814814815,0.1321809862735173
jscarle/LightResults,predictor,0.8,21,77,77,0.0,0,0.0,0.0,0.1138310185185185,0.0
taiga-family/taiga-ui,observed,,21,31,31,0.0,0,0.0,0.0,14.348761574074077,0.0
