repo,coactive_pairs,conflicting_pairs,n_agent_prs_repo,n_prs_in_pairs,span_days,mean_concurrent,max_concurrent
mochilang/mochi,369597,8175,8913,8495,54.319965277777776,32.3359061800524,139
MontrealAI/AGI-Alpha-Agent-v0,134132,13644,3569,3429,74.22331018518518,42.018536716808356,55
microsoft/vscode,5932,409,198,180,67.4800925925926,33.375909561804924,58
wieslawsoltes/Dock,4664,925,309,293,29.399722222222223,9.13228031884907,80
crewAIInc/crewAI,3910,847,327,321,213.3284490740741,10.11582725038518,26
oven-sh/bun,3290,716,131,129,73.18556712962963,31.53004388735952,49
calcom/cal.com,2569,1124,220,220,216.1246875,6.920714010414835,23
KomodoPlatform/komodo-wallet,2256,951,141,140,71.45197916666666,15.06250944568929,26
dotnet/aspire,1864,331,169,159,72.0904513888889,13.598282924855686,21
liam-hq/liam,1758,788,358,337,174.73842592592592,3.2327378886430775,18
ryokun6/ryos,1536,143,194,175,86.31028935185185,8.287039561315769,21
OpenHFT/Chronicle-Core,1497,46,110,98,10.10150462962963,40.522209745981186,50
dotnet/maui,1422,157,80,74,72.16842592592593,17.751000103923563,33
wieslawsoltes/Xaml.Behaviors,1362,789,165,136,65.59717592592592,11.458461577007252,33
airbytehq/airbyte,1355,174,218,214,186.74972222222223,4.93697843766935,22
box/box-ui-elements,1214,151,88,87,205.11532407407407,8.099682631112444,38
prebid/Prebid.js,1172,845,126,125,69.07540509259259,9.342981829271052,19
julep-ai/julep,1152,288,67,66,74.79383101851852,32.07593868763006,42
neondatabase/website,922,241,144,144,146.52814814814815,6.857335826639301,18
OpenHFT/Chronicle-Values,873,23,99,98,8.2165625,0.9687496038235779,25
promptfoo/promptfoo,841,423,109,107,195.77898148148148,4.6768693604324225,17
antiwork/flexile,721,561,206,197,114.08145833333333,3.286166642216139,15
OpenHFT/Chronicle-Threads,677,0,53,53,68.11795138888888,1.0022912666295238,27
tokens-studio/figma-plugin,584,202,45,43,71.39893518518518,19.36527009493476,27
dcSpark/shinkai-local-ai-agents,550,123,169,165,124.0185300925926,3.2559697200267173,9
onlook-dev/onlook,535,195,175,168,215.8831712962963,2.7583570631963683,10
reown-com/appkit,505,288,49,47,76.30855324074074,12.599976733106741,17
dotnet/docs,498,33,66,61,72.17105324074075,4.893607955251629,21
jaseci-labs/jaseci,469,290,95,91,73.1156712962963,5.001363263499585,11
OpenHFT/Chronicle-Logger,468,0,50,49,0.016412037037037037,6.957686882933709,25
antiwork/gumroad,464,197,148,136,107.43131944444444,2.748998444958267,9
appsmithorg/appsmith,457,44,51,51,161.53140046296295,2.6595458986911513,21
WorkflowAI/WorkflowAI,443,109,57,57,56.20960648148148,6.457901455983824,16
mendableai/firecrawl,430,107,92,90,117.2394212962963,3.7772304537466166,11
theopenco/llmgateway,429,353,120,119,76.25975694444445,2.2663440303555573,9
getsentry/sentry-docs,422,55,68,68,54.07716435185185,6.6318744198480095,11
OpenHFT/Chronicle-Wire,419,50,164,144,4.100127314814815,0.15849778829135275,10
Azure/azure-sdk-for-python,410,23,57,48,71.1111574074074,9.758220697772984,18
stanford-crfm/levanter,392,66,71,71,43.72538194444444,4.967308324022539,14
dotnet/aspnetcore,390,45,52,48,71.15,9.048182471825303,16
nodetool-ai/nodetool,386,53,96,87,71.18328703703703,8.501589857690014,12
Significant-Gravitas/AutoGPT,386,197,43,42,74.44850694444445,12.004716316009496,15
microsoft/react-native-windows,384,119,34,33,50.25788194444444,12.794213456015399,19
reflex-dev/reflex-web,382,163,94,89,94.11295138888889,1.4890384251882127,12
go-vikunja/vikunja,378,35,66,65,56.3331712962963,4.8172140945507325,10
microsoft/testfx,360,134,60,59,71.62878472222222,6.622745679361846,13
wieslawsoltes/Svg.Skia,357,89,76,66,8.735879629629629,6.781627759082117,24
microsoft/typespec,325,52,44,44,72.24436342592593,7.831181242032691,12
gluesql/gluesql,321,23,54,49,52.61878472222222,10.304176199221207,15
OpenHFT/Java-Thread-Affinity,319,64,34,34,0.7791898148148149,2.9574284780606637,23
