repo,pr_a,pr_b,agent_a,agent_b,opened_a,closed_a,opened_b,closed_b,cross_agent,conflict,both_files,dup_title,revert,fix_in_flight,merged_a,merged_b,both_merged,bm_shared,mega,near_miss,primary_stratum,cross_agent_candidate,in_prevalence_sample,in_enriched_sample,pi_prevalence,pi_enriched,incl_prob,title_a,body_a,files_a,n_files_a,title_b,body_b,files_b,n_files_b,files_shared,has_diff,frame_id,dataset_version,config_version,anon_id
crewAIInc/crewAI,2512,2525,Devin,Devin,2025-04-02T02:17:58+00:00,2025-05-03T11:09:06+00:00,2025-04-04T14:17:34+00:00,2025-04-12T15:18:59+00:00,False,True,True,False,False,True,False,False,False,False,False,False,fix_in_flight,False,False,True,,0.09658593522030931,0.09658593522030931,Add support for Gemini 2.5 Pro Experimental model,"Fixes #2511

This PR adds support for the new Gemini 2.5 Pro Experimental model (gemini-2.5-pro-exp-03-25) to CrewAI.

Changes:
- Added the model to the supported Gemini models list in constants.py
- Added context window size for the model in llm.py
- Added tests to verify the implementation works correctly

Link to Devin run: https://app.devin.ai/sessions/b249d998df3c4c5980123559c5eaaa73
Requested by: Joe Moura (joao@crewai.com)",".github/workflows/tests.yml
.gitignore
docs/concepts/agents.mdx
docs/concepts/collaboration.mdx
docs/concepts/crews.mdx
docs/concepts/event-listener.mdx
docs/concepts/flows.mdx
docs/concepts/memory.mdx
docs/concepts/tasks.mdx
docs/concepts/tools.mdx
docs/docs.json
docs/how-to/arize-phoenix-observability.mdx
docs/how-to/kickoff-async.mdx
docs/installation.mdx
docs/introduction.mdx
docs/quickstart.mdx
docs/telemetry.mdx
pyproject.toml
src/crewai/__init__.py
src/crewai/agent.py
src/crewai/agents/agent_builder/base_agent.py
src/crewai/agents/agent_builder/base_agent_executor_mixin.py
src/crewai/agents/crew_agent_executor.py
src/crewai/agents/parser.py
src/crewai/cli/constants.py
src/crewai/cli/install_crew.py
src/crewai/cli/templates/crew/main.py
src/crewai/cli/templates/crew/pyproject.toml
src/crewai/cli/templates/flow/pyproject.toml
src/crewai/cli/templates/tool/pyproject.toml
src/crewai/crew.py
src/crewai/flow/flow.py
src/crewai/lite_agent.py
src/crewai/llm.py
src/crewai/memory/__init__.py
src/crewai/memory/contextual/contextual_memory.py
src/crewai/memory/external/__init__.py
src/crewai/memory/external/external_memory.py
src/crewai/memory/external/external_memory_item.py
src/crewai/memory/memory.py
src/crewai/memory/storage/mem0_storage.py
src/crewai/memory/user/user_memory.py
src/crewai/project/crew_base.py
src/crewai/telemetry/telemetry.py
src/crewai/tools/base_tool.py
src/crewai/tools/tool_types.py
src/crewai/tools/tool_usage.py
src/crewai/translations/en.json
src/crewai/utilities/agent_utils.py
src/crewai/utilities/events/agent_events.py
src/crewai/utilities/events/event_listener.py
src/crewai/utilities/events/utils/console_formatter.py
src/crewai/utilities/prompts.py
src/crewai/utilities/tool_utils.py
tests/agent_test.py
tests/agents/test_crew_agent_parser.py
tests/cassettes/test_agent_custom_max_iterations.yaml
tests/cassettes/test_agent_error_on_parsing_tool.yaml
tests/cassettes/test_agent_function_calling_llm.yaml
tests/cassettes/test_agent_moved_on_after_max_iterations.yaml
tests/cassettes/test_agent_powered_by_new_o_model_family_that_allows_skipping_tool.yaml
tests/cassettes/test_agent_powered_by_new_o_model_family_that_uses_tool.yaml
tests/cassettes/test_agent_repeated_tool_usage.yaml
tests/cassettes/test_agent_repeated_tool_usage_check_even_with_disabled_cache.yaml
tests/cassettes/test_agent_respect_the_max_rpm_set.yaml
tests/cassettes/test_agent_respect_the_max_rpm_set_over_crew_rpm.yaml
tests/cassettes/test_cache_hitting_between_agents.yaml
tests/cassettes/test_disabling_cache_for_agent.yaml
tests/cassettes/test_hierarchical_process.yaml
tests/cassettes/test_lite_agent_created_with_correct_parameters[False].yaml
tests/cassettes/test_lite_agent_created_with_correct_parameters[True].yaml
tests/cassettes/test_lite_agent_returns_usage_metrics.yaml
tests/cassettes/test_lite_agent_returns_usage_metrics_async.yaml
tests/cassettes/test_lite_agent_structured_output.yaml
tests/cassettes/test_lite_agent_with_tools.yaml
tests/config/agents.yaml
tests/crew_test.py
tests/imports_test.py
tests/memory/external/cassettes/test_crew_external_memory_save.yaml
tests/memory/external/cassettes/test_crew_external_memory_save[save].yaml",95,Fix issue #2524: Check if pyproject.toml exists before running uv sync,"Fixes #2524

## Description
When running 'crewai install' without a pyproject.toml file in the current directory, the command fails with a cryptic error message. This PR adds a check for the existence of pyproject.toml before attempting to run 'uv sync' and provides a helpful error message.

## Testing
- Added unit tests for both cases (with and without pyproject.toml)
- Manually tested the fix in a directory without pyproject.toml
- Ran the full test suite to ensure nothing else was broken

Link to Devin run: https://app.devin.ai/sessions/26690764ac6044c9a11eac0c12d777ec
User: Joe Moura (joao@crewai.com)","src/crewai/cli/install_crew.py
tests/cli/install_crew_test.py",2,src/crewai/cli/install_crew.py,False,11976,v1,v1,P0467d68d2dcca926
jscarle/LightResults,60,63,OpenAI_Codex,OpenAI_Codex,2025-07-08T20:39:32+00:00,2025-07-08T20:56:00+00:00,2025-07-08T20:42:00+00:00,2025-07-08T20:58:05+00:00,False,True,True,False,False,False,True,True,True,True,False,False,bm_shared,False,False,True,,0.1552728056933362,0.1552728056933362,Share static empty metadata,"## Summary
- reuse `EmptyMetaData` for `Error.Empty` and `DefaultErrorList` to reduce allocations

## Testing
- `dotnet test tests/LightResults.Tests/LightResults.Tests.csproj -f net9.0`

------
https://chatgpt.com/codex/tasks/task_e_686d7f9f169c8328892add17a8fe4897","README.md
src/LightResults/Error.cs
src/LightResults/IResult.cs
src/LightResults/IResult`1.cs
tests/LightResults.Tests/ErrorTests.cs",5,Optimize Error.ToString,"## Summary
- reduce reflection in `Error.ToString` by using a cached constant name when the runtime type is `Error`

## Testing
- `dotnet test tests/LightResults.Tests/LightResults.Tests.csproj -f net9.0`

------
https://chatgpt.com/codex/tasks/task_e_686d811a65a08328b1e4cf4a125d3d2c","README.md
src/LightResults/Error.cs
src/LightResults/IResult.cs
src/LightResults/IResult`1.cs
src/LightResults/Result.cs
tests/LightResults.Tests/ErrorTests.cs
tests/LightResults.Tests/ResultTValueTests.cs
tests/LightResults.Tests/ResultTests.cs",8,"README.md
src/LightResults/Error.cs
src/LightResults/IResult.cs
src/LightResults/IResult`1.cs
tests/LightResults.Tests/ErrorTests.cs",False,6374,v1,v1,Pc206ddf3b7d2f9bf
mochilang/mochi,3948,4114,OpenAI_Codex,OpenAI_Codex,2025-06-29T10:40:41+00:00,2025-07-01T03:06:08+00:00,2025-06-30T07:31:43+00:00,2025-06-30T07:31:59+00:00,False,True,True,False,False,True,False,True,False,False,True,False,fix_in_flight,False,False,True,,0.09671964829218803,0.09671964829218803,Optimize inner join in VM,"## Summary
- tune inner join code generation
- regenerate benchmark results
- update join benchmark documentation

## Testing
- `go test ./...`
- `go run cmd/mochi-bench/main.go`


------
https://chatgpt.com/codex/tasks/task_e_68611419206083209e3be1b1abf8c6b2","BENCHMARK.md
runtime/vm/JOINS_BENCHMARKS.md
runtime/vm/vm.go
tests/vm/valid/append_builtin.out",4,Enable q69 dataset and VM append fix,"## Summary
- generate output/IR for tpc-ds q69 sample
- make `OpAppend` handle `null` inputs gracefully

## Testing
- `go test ./...`

------
https://chatgpt.com/codex/tasks/task_e_68623b40d2408320a6e26e5eb4eb4523","runtime/vm/vm.go
tests/dataset/tpc-ds/out/q69.ir.out
tests/dataset/tpc-ds/out/q69.out",3,runtime/vm/vm.go,False,11088,v1,v1,P4fc5bbd311f99838
MontrealAI/AGI-Alpha-Agent-v0,155,1004,OpenAI_Codex,OpenAI_Codex,2025-05-17T18:06:56+00:00,2025-07-30T23:20:55+00:00,2025-05-27T18:05:53+00:00,2025-05-27T18:06:00+00:00,False,True,True,False,False,False,False,True,False,False,True,False,overlap_other,False,False,True,,0.028022947925860547,0.028022947925860547,Improve demo quick-start,"## Summary
- mark all demo launcher scripts as executable
- remove extra chmod step in Era-of-Experience README

## Testing
- `python alpha_factory_v1/scripts/run_tests.py`
","README.md
alpha_factory_v1/demos/era_of_experience/README.md",2,[alpha_factory] add sandbox env limits,"## Summary
- allow `SANDBOX_CPU_SEC` and `SANDBOX_MEM_MB` to tune CodeGen sandbox limits
- document the variables in the docs and README
- mention sandbox configuration in API docs
- test environment variable handling

## Testing
- `python check_env.py --auto-install`
- `pytest -q` *(fails: tests/test_insight_health.py::test_readiness)*","README.md
alpha_factory_v1/demos/alpha_agi_insight_v1/src/agents/codegen_agent.py
docs/API.md
docs/CHANGELOG.md
docs/sandbox.md
tests/test_codegen_agent.py",6,README.md,False,11547,v1,v1,Pbfe6cfc5dc4919d0
MontrealAI/AGI-Alpha-Agent-v0,184,3580,OpenAI_Codex,OpenAI_Codex,2025-05-17T19:19:55+00:00,2025-07-30T23:20:55+00:00,2025-07-19T23:07:42+00:00,2025-07-19T23:07:54+00:00,False,True,True,False,False,True,False,True,False,False,True,False,fix_in_flight,False,False,True,,0.09671964829218803,0.09671964829218803,Add CI coverage and root tests,"## Summary
- add new Python matrix and OS matrix to GitHub Actions
- cache pip dependencies and collect coverage
- include simple root level tests
- document new test directory

## Testing
- `python -m alpha_factory_v1.scripts.run_tests`
- `python -m unittest discover -s tests -v`
",".github/workflows/ci.yml
README.md
tests/test_edge_runner_wrapper.py
tests/test_package.py",4,[alpha_factory] fix workflow issues,"## Summary
- fix build context for Docker image
- install Playwright browsers during docs build using Python CLI
- avoid uvicorn extras in CPU lock file

## Testing
- `pre-commit run --files requirements-cpu.lock .github/workflows/ci.yml`
- `python scripts/check_python_deps.py`
- `python check_env.py --auto-install`
- `pytest tests/test_ping_agent.py tests/test_af_requests.py -q`


------
https://chatgpt.com/codex/tasks/task_e_687c22a8dc208333a7e07efa10c0f431",".github/workflows/ci.yml
requirements-cpu.lock",2,.github/workflows/ci.yml,False,7818,v1,v1,Pba95e958c4440555
MontrealAI/AGI-Alpha-Agent-v0,194,975,OpenAI_Codex,OpenAI_Codex,2025-05-17T20:22:17+00:00,2025-07-30T23:20:55+00:00,2025-05-27T13:00:40+00:00,2025-05-27T13:00:58+00:00,False,True,True,False,False,False,False,True,False,False,True,False,overlap_other,False,False,True,,0.028022947925860547,0.028022947925860547,Restrict Python version <3.12,"## Summary
- restrict supported Python versions to <3.12
- enforce version range in quickstart and preflight checks
- document the requirement in README
- trim CI matrix to Python 3.10 and 3.11
- fix prometheus counter duplication

## Testing
- `python -m alpha_factory_v1.scripts.run_tests`
",".github/workflows/ci.yml
README.md
alpha_factory_v1/backend/agents/__init__.py
alpha_factory_v1/quickstart.sh
alpha_factory_v1/scripts/preflight.py
pyproject.toml",6,[alpha_factory] add deployment security docs,"## Summary
- add `docs/deployment_security.md` describing TLS, API tokens and Vault
- link it from README in a new ""Deploying securely"" section

## Testing
- `python check_env.py --auto-install`
- `pytest -q`
","README.md
docs/deployment_security.md",2,README.md,False,6040,v1,v1,P91854359840b3260
mochilang/mochi,13039,13481,OpenAI_Codex,OpenAI_Codex,2025-07-25T10:29:54+00:00,2025-07-30T23:20:55+00:00,2025-07-26T17:22:50+00:00,2025-07-26T17:23:03+00:00,False,True,True,True,False,False,False,False,False,False,True,False,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Fix VM main execution and update Rosetta outputs,"## Summary
- ensure rosetta tests use deterministic `now()` by seeding the VM
- speed up the `Append` instruction by preallocating slices
- refresh IR outputs for the `100-prisoners` task
- update benchmark and checklist entries

## Testing
- `MOCHI_ROSETTA_INDEX=4 MOCHI_BENCHMARK=1 go test ./runtime/vm -tags slow -run TestVM_Rosetta_Golden -v`


------
https://chatgpt.com/codex/tasks/task_e_688358317d688320ae15f6e91e6fa043","runtime/vm/ROSETTA.md
runtime/vm/rosetta_test.go
runtime/vm/vm.go
tests/rosetta/ir/100-prisoners.bench
tests/rosetta/ir/100-prisoners.out",5,Update vm rosetta outputs,"## Summary
- run vm rosetta for index 265 and 266
- add generated IR and benchmark files
- auto-update runtime VM progress checklist

## Testing
- `MOCHI_ROSETTA_INDEX=265 MOCHI_BENCHMARK=1 go test ./runtime/vm -tags slow -run Rosetta_Golden -update`
- `MOCHI_ROSETTA_INDEX=266 MOCHI_BENCHMARK=1 go test ./runtime/vm -tags slow -run Rosetta_Golden -update`


------
https://chatgpt.com/codex/tasks/task_e_6885071fdc3083209d951358deb33d30","runtime/vm/ROSETTA.md
tests/rosetta/ir/cullen-and-woodall-numbers.bench
tests/rosetta/ir/cullen-and-woodall-numbers.ir
tests/rosetta/ir/cumulative-standard-deviation.bench
tests/rosetta/ir/cumulative-standard-deviation.ir",5,runtime/vm/ROSETTA.md,False,9252,v1,v1,P7bac8c3c24600464
mochilang/mochi,10177,11904,OpenAI_Codex,OpenAI_Codex,2025-07-19T12:00:38+00:00,2025-07-30T23:20:55+00:00,2025-07-22T10:45:15+00:00,2025-07-22T10:45:38+00:00,False,True,True,True,False,False,False,False,False,False,True,False,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Update go transpiler progress,"## Summary
- support unary `!` in Go transpiler using `boolInt`
- generate new golden files for `in_operator`
- refresh Go transpiler README and tasks progress

## Testing
- `go test -tags=slow -c`

------
https://chatgpt.com/codex/tasks/task_e_687b7c804c2c8320ba42de0d29cb5d6a","tests/transpiler/x/go/in_operator.go
tests/transpiler/x/go/in_operator.out
transpiler/x/go/README.md
transpiler/x/go/TASKS.md
transpiler/x/go/transpiler.go",5,Update Go transpiler outputs,"## Summary
- regenerate Go golden outputs using improved list string handling
- document progress and update README and TASKS

## Testing
- `go test ./transpiler/x/go -run NONEXIST -tags slow -count=0`
- `go test ./transpiler/x/go -run TestGoTranspiler_VMValid_Golden -tags slow` *(fails: group_items_iteration)*

------
https://chatgpt.com/codex/tasks/task_e_687f6312269883208e072417c3fc1d05","tests/transpiler/x/go/append_builtin.go
tests/transpiler/x/go/avg_builtin.go
tests/transpiler/x/go/basic_compare.go
tests/transpiler/x/go/binary_precedence.go
tests/transpiler/x/go/bool_chain.go
tests/transpiler/x/go/break_continue.go
tests/transpiler/x/go/cast_string_to_int.go
tests/transpiler/x/go/cast_struct.go
tests/transpiler/x/go/closure.go
tests/transpiler/x/go/count_builtin.go
tests/transpiler/x/go/cross_join.go
tests/transpiler/x/go/cross_join_filter.go
tests/transpiler/x/go/cross_join_triple.go
tests/transpiler/x/go/cross_join_triple.out
tests/transpiler/x/go/dataset_sort_take_limit.go
tests/transpiler/x/go/dataset_where_filter.go
tests/transpiler/x/go/exists_builtin.go
tests/transpiler/x/go/for_list_collection.go
tests/transpiler/x/go/for_loop.go
tests/transpiler/x/go/for_map_collection.go
tests/transpiler/x/go/fun_call.go
tests/transpiler/x/go/fun_expr_in_let.go
tests/transpiler/x/go/fun_three_args.go
tests/transpiler/x/go/go_auto.go
tests/transpiler/x/go/go_auto.out
tests/transpiler/x/go/group_by.go
tests/transpiler/x/go/group_by.out
tests/transpiler/x/go/group_by_conditional_sum.go
tests/transpiler/x/go/group_by_conditional_sum.out
tests/transpiler/x/go/group_by_having.go
tests/transpiler/x/go/group_by_join.go
tests/transpiler/x/go/group_by_left_join.go
tests/transpiler/x/go/group_by_left_join.out
tests/transpiler/x/go/group_by_multi_join.go
tests/transpiler/x/go/group_by_multi_join.out
tests/transpiler/x/go/group_by_multi_join_sort.go
tests/transpiler/x/go/group_by_multi_join_sort.out
tests/transpiler/x/go/group_by_multi_sort.go
tests/transpiler/x/go/group_by_multi_sort.out
tests/transpiler/x/go/group_by_sort.go
tests/transpiler/x/go/group_by_sort.out
tests/transpiler/x/go/group_items_iteration.error
tests/transpiler/x/go/group_items_iteration.go
tests/transpiler/x/go/if_else.go
tests/transpiler/x/go/if_then_else.go
tests/transpiler/x/go/if_then_else_nested.go
tests/transpiler/x/go/in_operator.go
tests/transpiler/x/go/in_operator_extended.go
tests/transpiler/x/go/inner_join.go
tests/transpiler/x/go/join_multi.go
tests/transpiler/x/go/json_builtin.go
tests/transpiler/x/go/left_join.go
tests/transpiler/x/go/left_join.out
tests/transpiler/x/go/left_join_multi.go
tests/transpiler/x/go/left_join_multi.out
tests/transpiler/x/go/len_builtin.go
tests/transpiler/x/go/len_map.go
tests/transpiler/x/go/len_string.go
tests/transpiler/x/go/let_and_print.go
tests/transpiler/x/go/list_assign.go
tests/transpiler/x/go/list_index.go
tests/transpiler/x/go/list_nested_assign.go
tests/transpiler/x/go/list_set_ops.go
tests/transpiler/x/go/load_jsonl.go
tests/transpiler/x/go/load_yaml.go
tests/transpiler/x/go/map_assign.go
tests/transpiler/x/go/map_in_operator.go
tests/transpiler/x/go/map_index.go
tests/transpiler/x/go/map_int_key.go
tests/transpiler/x/go/map_literal_dynamic.go
tests/transpiler/x/go/map_membership.go
tests/transpiler/x/go/map_nested_assign.go
tests/transpiler/x/go/match_expr.go
tests/transpiler/x/go/match_full.go
tests/transpiler/x/go/math_ops.go
tests/transpiler/x/go/membership.go
tests/transpiler/x/go/min_max_builtin.go
tests/transpiler/x/go/mix_go_python.go
tests/transpiler/x/go/nested_function.go
tests/transpiler/x/go/order_by_map.error",142,"tests/transpiler/x/go/in_operator.go
transpiler/x/go/README.md
transpiler/x/go/TASKS.md
transpiler/x/go/transpiler.go",False,3910,v1,v1,P2c2767d55aa2c214
mochilang/mochi,4184,4197,OpenAI_Codex,OpenAI_Codex,2025-06-30T14:00:20+00:00,2025-06-30T14:02:55+00:00,2025-06-30T14:01:40+00:00,2025-06-30T14:07:42+00:00,False,True,True,True,False,False,True,False,False,False,True,False,dup,False,False,True,,0.21523060421880585,0.21523060421880585,Add empty list/map constant reuse,"## Summary
- enhance `constKey` to reuse empty list and map constants
- regenerate TPCH q4 outputs

## Testing
- `go test ./...`
- `go test -tags slow ./...` *(fails: cobol compiler tests)*

------
https://chatgpt.com/codex/tasks/task_e_6862915878048320bfc1714df0d1f042",runtime/vm/vm.go,1,Add constant reuse for empty collections,"## Summary
- enhance VM constant intern table so empty lists/maps reuse registers

## Testing
- `make test`

------
https://chatgpt.com/codex/tasks/task_e_6862917f178c83209c27b504ac211536",runtime/vm/vm.go,1,runtime/vm/vm.go,False,4906,v1,v1,Padab066ec50784d6
MontrealAI/AGI-Alpha-Agent-v0,155,1447,OpenAI_Codex,OpenAI_Codex,2025-05-17T18:06:56+00:00,2025-07-30T23:20:55+00:00,2025-06-02T17:57:27+00:00,2025-06-02T17:58:15+00:00,False,True,True,False,False,False,False,True,False,False,True,False,overlap_other,False,False,True,,0.028022947925860547,0.028022947925860547,Improve demo quick-start,"## Summary
- mark all demo launcher scripts as executable
- remove extra chmod step in Era-of-Experience README

## Testing
- `python alpha_factory_v1/scripts/run_tests.py`
","README.md
alpha_factory_v1/demos/era_of_experience/README.md",2,[alpha_factory] update docs for npm install,"## Summary
- update install instructions for web dashboard
- adjust demo README for same change

## Testing
- `pre-commit run --files README.md alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/README.md` *(fails: failed to fetch hooks due to network)*
- `python check_env.py --auto-install`
- `pytest -q` *(fails: ValueError Duplicated timeseries in CollectorRegistry)*

------
https://chatgpt.com/codex/tasks/task_e_683de3bd3d808333b4a80bd1ef2b1cdd","README.md
alpha_factory_v1/demos/alpha_agi_insight_v1/insight_browser_v1/README.md",2,README.md,False,9188,v1,v1,P023f2c14ba6087f0
